State;City;Tel. area code;Street;Postal Code
Małopolskie;Bochnia;14;ul. Łychów;32-700
Małopolskie;Bochnia;14;ul. Dębnik;32-700
Małopolskie;Bochnia;14;ul. Konstytucji 3 Maja;32-700
Małopolskie;Bochnia;14;ul. Maissa;32-700
Małopolskie;Bochnia;14;ul. Matejki;32-700
Małopolskie;Bochnia;14;ul. Zaułek Św. Mikołaja;32-700
Małopolskie;Bochnia;14;ul. Bujaka;32-700
Małopolskie;Bochnia;14;ul. Kowalska;32-700
Małopolskie;Bochnia;14;ul. Strzelecka;32-700
Małopolskie;Bochnia;14;ul. Dominikańska;32-700
Małopolskie;Bochnia;14;ul. osiedle Podmagura;32-700
Małopolskie;Bochnia;14;ul. Różana;32-700
Małopolskie;Bochnia;14;ul. Floris;32-700
Małopolskie;Bochnia;14;ul. Kamyk;32-700
Małopolskie;Bochnia;14;ul. Krakowska;32-700
Małopolskie;Bochnia;14;ul. Leśna;32-700
Małopolskie;Bochnia;14;ul. Kiernika;32-700
Małopolskie;Bochnia;14;ul. Parkowa;32-700
Małopolskie;Bochnia;14;ul. Za Szybem;32-700
Małopolskie;Brzesko;14;ul. Za Lasem;32-800
Małopolskie;Brzesko;14;ul. Zamknięta;32-800
Małopolskie;Brzesko;14;ul. Kręta;32-800
Małopolskie;Brzesko;14;ul. Królowej Jadwigi;32-800
Małopolskie;Brzesko;14;ul. świętego Brata Alberta;32-800
Małopolskie;Brzesko;14;ul. Artura Grottgera;32-800
Małopolskie;Brzesko;14;ul. Odrodzenia;32-800
Małopolskie;Brzesko;14;ul. Zakątek;32-800
Małopolskie;Gorlice;18;ul. Lenartowiczów;38-300
Małopolskie;Gorlice;18;ul. Plac Targowy;38-300
Małopolskie;Gorlice;18;ul. Pocieszka;38-300
Małopolskie;Gorlice;18;ul. Brzozowa;38-300
Małopolskie;Gorlice;18;ul. Letnia;38-300
Małopolskie;Gorlice;18;ul. Zagórzańska;38-300
Małopolskie;Gorlice;18;ul. Parkowa;38-300
Małopolskie;Gorlice;18;ul. Józefa Piłsudskiego;38-300
Małopolskie;Gorlice;18;ul. Krótka;38-300
Małopolskie;Gorlice;18;ul. Zakole;38-300
Małopolskie;Limanowa;18;ul. Słoneczna;34-600
Małopolskie;Limanowa;18;ul. Akacjowa;34-600
Małopolskie;Limanowa;18;ul. Ludwika Kubali;34-600
Małopolskie;Limanowa;18;ul. Malinowa;34-600
Małopolskie;Limanowa;18;ul. Boczna;34-600
Małopolskie;Limanowa;18;ul. Krakowska;34-600
Małopolskie;Limanowa;18;ul. Potok;34-600
Małopolskie;Muszyna;18;ul. Nowa;33-370
Małopolskie;Olkusz;32;ul. Płonowskiej;32-300
Małopolskie;Olkusz;32;ul. Zamkowa;32-300
Małopolskie;Olkusz;32;ul. Parcówka;32-300
Małopolskie;Olkusz;32;ul. Na Skarpie;32-300
Małopolskie;Olkusz;32;ul. aleja 1000-lecia;32-300
Małopolskie;Olkusz;32;ul. Piłsudskiego;32-300
Małopolskie;Olkusz;32;ul. Parkowa;32-300
Małopolskie;Olkusz;32;ul. Legionów Polskich;32-300
Małopolskie;Proszowice;12;ul. Kolejowa;32-100
Małopolskie;Proszowice;12;ul. Nowa;32-100
Małopolskie;Szczawnica;18;ul. aleja 1-go Maja;34-460
Małopolskie;Szczawnica;18;ul. Maćka zza Ławy;34-460
Małopolskie;Szczawnica;18;ul. aleja Parkowa;34-460
Małopolskie;Trzebinia;32;ul. Cicha;32-530
Małopolskie;Trzebinia;32;ul. Lipowa Boczna;32-530
Małopolskie;Trzebinia;32;ul. Sosnowa;32-530
Małopolskie;Trzebinia;32;ul. Harcerska;32-530
Małopolskie;Trzebinia;32;ul. Parkowa;32-530
Małopolskie;Trzebinia;32;ul. Dębowa;32-530
Małopolskie;Trzebinia;32;ul. Józefa Piłsudskiego;32-530
Małopolskie;Trzebinia;32;ul. Staszica;32-530
Małopolskie;Trzebinia;32;ul. Zwycięstwa;32-530
Małopolskie;Trzebinia;32;ul. Szkolna;32-530
Małopolskie;Trzebinia;32;ul. Wspólna;32-530
Małopolskie;Trzebinia;32;ul. Łąkowa;32-530
Małopolskie;Trzebinia;32;ul. Dąbrowskiego;32-530
Małopolskie;Trzebinia;32;ul. Rybna;32-530
Małopolskie;Wadowice;33;ul. Kościelna;34-100
Małopolskie;Wadowice;33;ul. Lipowa;34-100
Małopolskie;Wadowice;33;ul. Rzyczki;34-100
Małopolskie;Wadowice;33;ul. Sosnowa;34-100
Małopolskie;Wadowice;33;ul. Cicha;34-100
Małopolskie;Wadowice;33;ul. Wojska Polskiego;34-100
Małopolskie;Wieliczka;12;ul. Jodłowa;32-020
Małopolskie;Wieliczka;12;ul. Tadeusza Korpala;32-020
Małopolskie;Wieliczka;12;ul. Adama Asnyka;32-020
Małopolskie;Wieliczka;12;ul. Sobótki;32-020
Małopolskie;Wieliczka;12;ul. Doktora Tomasza Żywca;32-020
Małopolskie;Wieliczka;12;ul. Juliusza Słowackiego;32-020
Małopolskie;Wieliczka;12;ul. Kazimierza Brodzińskiego;32-020
Małopolskie;Zakopane;18;ul. Długa;34-500
Małopolskie;Zakopane;18;ul. Heleny Modrzejewskiej;34-500
Małopolskie;Zakopane;18;ul. Kiełbasówka;34-500
Małopolskie;Zakopane;18;ul. Szkolna;34-500
Małopolskie;Zakopane;18;ul. osiedle Nowe;34-500
Małopolskie;Zakopane;18;ul. Stanisława Staszica;34-500
Małopolskie;Zakopane;18;ul. Wierchowa;34-500
Małopolskie;Zakopane;18;ul. Zwijacze;34-500
Małopolskie;Zakopane;18;ul. Mariusza Zaruskiego;34-500
Małopolskie;Zakopane;18;ul. Pardałówka;34-500
Małopolskie;Zakopane;18;ul. Walowa Góra;34-500
Małopolskie;Zakopane;18;ul. Witolda i Zofii Paryskich;34-500
Małopolskie;Zakopane;18;ul. Spyrkówka;34-500
Małopolskie;Zakopane;18;ul. Droga na Buńdówki;34-500
Małopolskie;Zakopane;18;ul. Guty;34-500
Małopolskie;Zakopane;18;ul. Sobczakówka;34-500
Małopolskie;Zakopane;18;ul. Strzelców Podhalańskich;34-500
Mazowieckie;Chorzele;29;ul. Wincentego Witosa;06-330
Mazowieckie;Garwolin;25;ul. Sosnowa;08-400
Mazowieckie;Gostynin;24;ul. Henryka Sienkiewicza;09-500
Mazowieckie;Gostynin;24;ul. Sąsiedzka;09-500
Mazowieckie;Gostynin;24;ul. Kardynała Stefana Wyszyńskiego;09-500
Mazowieckie;Gostynin;24;ul. Jaśminowa;09-500
Mazowieckie;Gostynin;24;ul. Wierzbowa;09-500
Mazowieckie;Gostynin;24;ul. Kościelna;09-500
Mazowieckie;Gostynin;24;ul. Langenfeld;09-500
Mazowieckie;Gostynin;24;ul. Lipowa;09-500
Mazowieckie;Nasielsk;23;ul. Ulica Warszawska;05-190
Mazowieckie;Nasielsk;23;ul. Szlak niebieski;05-190
Mazowieckie;Otwock;22;ul. Mysia;05-400
Mazowieckie;Otwock;22;ul. Bagnista;05-400
Mazowieckie;Otwock;22;ul. Braniewska;05-400
Mazowieckie;Otwock;22;ul. Jaśminowa;05-400
Mazowieckie;Otwock;22;ul. Dragonów;05-400
Mazowieckie;Otwock;22;ul. Grzybowa;05-400
Mazowieckie;Otwock;22;ul. Jana Kazimierza;05-400
Mazowieckie;Otwock;22;ul. Juliana Ursyna Niemcewicza;05-400
Mazowieckie;Otwock;22;ul. Wincentego Pola;05-400
Mazowieckie;Otwock;22;ul. Malwy;05-400
Mazowieckie;Otwock;22;ul. Rondo Sybiraków;05-400
Mazowieckie;Otwock;22;ul. Sportowa;05-400
Mazowieckie;Otwock;22;ul. Świerkowa;05-400
Mazowieckie;Otwock;22;ul. Wronia;05-400
Mazowieckie;Otwock;22;ul. Fryderyka Chopina;05-400
Mazowieckie;Otwock;22;ul. Stawowa;05-400
Mazowieckie;Otwock;22;ul. Władysława Czaplickiego;05-400
Mazowieckie;Otwock;22;ul. Władysława Łokietka;05-400
Mazowieckie;Otwock;22;ul. Bajkowa;05-400
Mazowieckie;Otwock;22;ul. Ogrodnicza;05-400
Mazowieckie;Otwock;22;ul. Przechodnia;05-400
Mazowieckie;Otwock;22;ul. Wojskiego;05-400
Mazowieckie;Otwock;22;ul. Olszowa;05-400
Mazowieckie;Otwock;22;ul. Wierchowa;05-400
Mazowieckie;Piaseczno;22;ul. Brylantowa;05-500
Mazowieckie;Piaseczno;22;ul. Jesionowa;05-500
Mazowieckie;Piaseczno;22;ul. Księdza Marka;05-500
Mazowieckie;Piaseczno;22;ul. Żeglińskiego;05-500
Mazowieckie;Piaseczno;22;ul. Koszykowa;05-500
Mazowieckie;Piaseczno;22;ul. Sąsiedzka;05-500
Mazowieckie;Piaseczno;22;ul. Gustawa Morcinka;05-500
Mazowieckie;Piaseczno;22;ul. Techniczna;05-500
Mazowieckie;Piaseczno;22;ul. Wacława Kauna;05-500
Mazowieckie;Piaseczno;22;ul. Agatowa;05-500
Mazowieckie;Piaseczno;22;ul. Ignacego Jana Paderewskiego;05-500
Mazowieckie;Piaseczno;22;ul. Laurowa;05-500
Mazowieckie;Piaseczno;22;ul. Miła;05-500
Mazowieckie;Piaseczno;22;ul. Wita Stwosza;05-500
Mazowieckie;Piaseczno;22;ul. Graniczna;05-500
Mazowieckie;Piaseczno;22;ul. Jana Kochanowskiego;05-500
Mazowieckie;Piaseczno;22;ul. Słoneczna;05-500
Mazowieckie;Piaseczno;22;ul. Główna;05-500
Mazowieckie;Piaseczno;22;ul. Jana Brzechwy;05-500
Mazowieckie;Serock;22;ul. Pod Lasem;05-140
Mazowieckie;Serock;22;ul. Trakt Księcia Janusza;05-140
Mazowieckie;Serock;22;ul. Rybaki;05-140
Mazowieckie;Serock;22;ul. Tadeusza Kościuszki;05-140
Mazowieckie;Serock;22;ul. Świerkowa;05-140
Mazowieckie;Siedlce;25;ul. Jesionowa;08-100
Mazowieckie;Siedlce;25;ul. Generała Orlicz-Dreszera;08-100
Mazowieckie;Siedlce;25;ul. Leśna;08-100
Mazowieckie;Siedlce;25;ul. Rybacka;08-100
Mazowieckie;Siedlce;25;ul. Stanisława Moniuszki;08-100
Mazowieckie;Siedlce;25;ul. Urwana;08-100
Mazowieckie;Siedlce;25;ul. Antoniego Wintera;08-100
Mazowieckie;Siedlce;25;ul. Generała Jana Skrzyneckiego;08-100
Mazowieckie;Siedlce;25;ul. Jasna;08-100
Mazowieckie;Siedlce;25;ul. Karpacka;08-100
Mazowieckie;Siedlce;25;ul. Kasztanowa;08-100
Mazowieckie;Siedlce;25;ul. Adolfa Ganiewskiego;08-100
Mazowieckie;Siedlce;25;ul. Chmielna;08-100
Mazowieckie;Siedlce;25;ul. Czesława Dylewicza;08-100
Mazowieckie;Siedlce;25;ul. Berka Joselewicza;08-100
Mazowieckie;Siedlce;25;ul. Łosicka;08-100
Mazowieckie;Siedlce;25;ul. Sulimów;08-100
Mazowieckie;Siedlce;25;ul. Tadeusza Zieleniewskiego;08-100
Mazowieckie;Sierpc;24;ul. Bolesława Prusa;09-200
Mazowieckie;Sierpc;24;ul. Świętego Wawrzyńca;09-200
Mazowieckie;Sierpc;24;ul. Szpitalna;09-200
Mazowieckie;Sierpc;24;ul. Władysława Reymonta;09-200
Mazowieckie;Sierpc;24;ul. Podgórna;09-200
Mazowieckie;Sochaczew;46;ul. 1 Maja;96-500
Mazowieckie;Warszawa;22;ul. 11 Listopada;00-001
Mazowieckie;Warszawa;22;ul. Jana Nowaka Jeziorańskiego;00-001
Mazowieckie;Warszawa;22;ul. Targowa;00-001
Mazowieckie;Warszawa;22;ul. Borówkowa;00-001
Mazowieckie;Warszawa;22;ul. Chylońska;00-001
Mazowieckie;Warszawa;22;ul. Floriańska;00-001
Mazowieckie;Warszawa;22;ul. Gimnazjalna;00-001
Mazowieckie;Warszawa;22;ul. Grawerska;00-001
Mazowieckie;Warszawa;22;ul. Ignacego Krasickiego;00-001
Mazowieckie;Warszawa;22;ul. Kapelanów Armii Krajowej;00-001
Mazowieckie;Warszawa;22;ul. Kartonowa;00-001
Mazowieckie;Warszawa;22;ul. Kazimierzowska;00-001
Mazowieckie;Warszawa;22;ul. Kiejstuta;00-001
Mazowieckie;Warszawa;22;ul. Łukasza Drewny;00-001
Mazowieckie;Warszawa;22;ul. Marii Rodziewiczówny;00-001
Mazowieckie;Warszawa;22;ul. Stefana Czarnieckiego;00-001
Mazowieckie;Warszawa;22;ul. Towarowa;00-001
Mazowieckie;Warszawa;22;ul. Wiśniowa;00-001
Mazowieckie;Warszawa;22;ul. Aleksandra Kraushara;00-001
Mazowieckie;Warszawa;22;ul. Bachusa;00-001
Mazowieckie;Warszawa;22;ul. Batystowa;00-001
Mazowieckie;Warszawa;22;ul. Darniowa;00-001
Mazowieckie;Warszawa;22;ul. Działyńczyków;00-001
Mazowieckie;Warszawa;22;ul. Arktyczna;00-001
Mazowieckie;Warszawa;22;ul. Asfaltowa;00-001
Mazowieckie;Warszawa;22;ul. Bełchatowska;00-001
Mazowieckie;Warszawa;22;ul. Borowiecka;00-001
Mazowieckie;Warszawa;22;ul. Bosmańska;00-001
Mazowieckie;Warszawa;22;ul. Bronisława Dobrzańskiego;00-001
Mazowieckie;Warszawa;22;ul. Czerwonych Maków;00-001
Mazowieckie;Warszawa;22;ul. Fuksji;00-001
Mazowieckie;Warszawa;22;ul. Gibraltarska;00-001
Mazowieckie;Warszawa;22;ul. Goworowska;00-001
Mazowieckie;Warszawa;22;ul. Irminy;00-001
Mazowieckie;Warszawa;22;ul. Janiszowska;00-001
Mazowieckie;Warszawa;22;ul. Kapitańska;00-001
Mazowieckie;Warszawa;22;ul. Kościelna;00-001
Mazowieckie;Warszawa;22;ul. Krzesiwa;00-001
Mazowieckie;Warszawa;22;ul. Pułkownika Zoltána Baló;00-001
Mazowieckie;Warszawa;22;ul. Sarenki;00-001
Mazowieckie;Warszawa;22;ul. Stefana Hankiewicza;00-001
Mazowieckie;Warszawa;22;ul. Tadeusza Gajcego;00-001
Mazowieckie;Warszawa;22;ul. Aleja Wilanowska;00-001
Mazowieckie;Warszawa;22;ul. Aleksandra Kostki-Napierskiego;00-001
Mazowieckie;Warszawa;22;ul. Architektów;00-001
Mazowieckie;Warszawa;22;ul. Canaletta;00-001
Mazowieckie;Warszawa;22;ul. Dobka z Oleśnicy;00-001
Mazowieckie;Warszawa;22;ul. Dunajecka;00-001
